"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"TRIBUNAL ADMINISTRATIF DU QUÉBEC",3330,"Rue King Ouest","J1L 1C9","819 820-3080","Autres Services Juridiques"
"TRICOT-THÉ-SERRÉ",3025,"Rue King Ouest","J1L 2B5","819 575-1410","Magasins D'Articles De Couture Et De Travaux D'Aiguille Et De Tissus A La Piece"
"TRISTAN",3050,"Boulevard de Portland","J1L 1K1","819 566-0636","Magasins De Tous Les Autres Vetements"
"TROPHÉES GERRY",1251,"Rue Denault","J1H 2P6","819 563-0539","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"TROUSSE DE PREMIER SOINS GM INC.",1242,"Rue King Ouest","J1J 2B6","819 565-8798","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"TRUSS-CSQ",257,"Rue Queen","J1M 1K7","819 563-1225","Organisations Syndicales"
"TUAC - LOCAL 500",2144,"Rue King Ouest","J1J 2E8","819 569-9488","Organisations Syndicales"
"TURGEON PROPANE",3861,"Rue de Toulon","J1N 3W5","819 829-5651","Marchand De Combustible"
"TUYAU FAB MF",400,"Rue Laval","J1C 0R1","819 845-5436","Toutes Les Autres Activites Diverses De Fabrication"
"TVA",3330,"Rue King Ouest","J1L 1C9","819 565-7777","Telediffusion"
"U-HAUL NEIBORHOOD DEALER",1813,"Rue Dunant","J1H 6L5","819 300-2280","Location Et Location A Bail De Camions, De Remorques Utilitaires Et De Vehicules De Plaisance"
"ULTRAMAR (1836 RUE GALT E)",1838,"Rue Galt Est","J1G 3H8","819 823-2286","Stations-Service Avec Depanneur"
"ULTRAMAR (421 RUE KING E)",421,"Rue King Est","J1G 1B6","581 309-7748","Stations-Service Avec Depanneur"
"ULTRAMAR (855 RUE GALT E)",855,"Rue Galt Est","J1G 1Y6","819 346-0578","Stations-Service Avec Depanneur"
"ULTRAMAR (BOUL. JACQUES - CARTIER N)",705,"Boulevard Jacques-Cartier Nord","J1J 4C8","819 562-3085","Stations-Service Avec Depanneur"
"ULTRAMAR (RUE DUNANT)",1330,"Rue Dunant","J1H 3Z9","819 569-2714","Stations-Service Avec Depanneur"
"ULTRAMAR (RUE KING OUEST/LEGER)",4205,"Rue King Ouest","J1L 1P5","819 566-4744","Stations-Service Avec Depanneur"
"UMANO",6943,"Boulevard Bourque","J1N 3K4","819 588-8588","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"UMITÉ PAROISSIALE SAINT-PAUL",2700,"Chemin Saint-Roch Sud","J1N 2T3","819 864-4055","Organismes Religieux"
"UN+UN",86,"Rue Wellington Nord","J1H 5B8",NA,"Salons De Coiffure Mixtes"
"UNI-D CONCEPTION PUBLICITAIRE",2320,"Rue King Ouest","J1J 2E8","819 565-2915","Agences De Publicite"
"UNIFOR SECTION LOCAL 78",2313,"Rue King Ouest","J1J 2G2","819 564-7878","Organisations Syndicales"
"UNIK BELLA",1434,"Rue King Est","J1G 1E9","819 569-3030","Salons De Beaute"
"UNIK TATOUAGE & PERCAGE",201,"Rue King Est","J1G 1A7","819 565-9956","Autres Services De Soins Personnels"
"UNION DE L'ÉGLISE PENTE CÔTE VASIPI DU CANADA",915,"Rue King Ouest","J1H 1S3",NA,"Organismes Religieux"
"UNIQUE WOOL",85,"Rue Belvédère Nord","J1H 4A7","819 432-5749","Serigraphie Commerciale"
"UNIRO",410,"Rue Pépin","J1L 2Y8","819 366-6641","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"UNITÉ PAROISSIALE SAINT-PAUL",7205,"Chemin de Saint-Élie","J1R 0K5",NA,"Organismes Religieux"
"UNITED CHURCH OF LENNOXVILLE",6,"Rue Church","J1M 1S9","819 565-8449","Organismes Religieux"
"UNITED PARCEL SERVICE DU CANADA LTEE (UPS)",2389,"Rue Hertel","J1J 2J1","1 800-742-5877","Messageries"
"UNIVERSITÉ BISHOP'S",2600,"Rue College","J1M 1Z7","819 822-9600","Universites"
"UNIVERSITÉ DE SHERBROOKE",2500,"Boulevard de l'Université","J1K 2X9","819 821-8000","Universites"
"UNIVERSITÉ DE SHERBROOKE (RUE GALT O)",2702,"Rue Galt Ouest","J1K 2V8","819 821-8000","Universites"
"UNIVESTA",2637,"Rue King Ouest","J1J 2H3","1 855-864-8378","Agences Et Courtiers D'Assurance"
"UPTIMO GESTION IMMOBILIÈRE",668,"Boulevard Lavigerie","J1G 2X2","819 569-5555","Gestionnaires De Biens Immobiliers"
"URBAN PLANET",3050,"Boulevard de Portland","J1L 1K1","819 562-5236","Magasins De Chaussures"
"URBANECO CONSTRUCTION",2727,"Rue King Ouest","J1L 1C2","819 481-1183","Construction Residentielle"
"USINAGE ALT",817,"Rue Longpré","J1G 5B8","819 200-6020","Atelier D'Usinage"
"USINAGE BLAXES",565,"Rue Joseph-Latour","J1C 0W2","819 636-0246","Toutes Les Autres Activites Diverses De Fabrication"
"USINAGE CL (DIVISION DE ISE METAL)",4065,"Boulevard de Portland","J1L 1X9","819 564-0266","Atelier D'Usinage"
"USINAGE CMO",9860,"Boulevard Bourque","J1N 0G2","819 868-5111","Atelier D'Usinage"
"USINAGE CNC BLAXES",490,"Rue Joseph-Latour","J1C 0W2","819 636-0246","Atelier D'Usinage"
"USINAGE GÉNÉRAL M. FERLAND INC.",930,"Rue Longpré","J1G 5B9","819 564-1388","Atelier D'Usinage"
"USINAGE JMF",1422,"Rue Le Ber","J1G 2Y5","819 823-6661","Atelier D'Usinage"
"USINAGE NADO",4225,"Rue Brodeur","J1L 1K4","819 821-4443","Toutes Les Autres Activites Diverses De Fabrication"
"USINAGE UBT",400,"Rue Laval","J1C 0R1","819 846-6594","Toutes Les Autres Activites Diverses De Fabrication"
"USINE D'ÉPURATION DES EAUX DE SHERBROOKE",2275,"Rue Claude-Greffard","J1H 5H1","819 821-5746","Traitement Et Elimination Des Dechets"
"USINE SHERBROOKE",4796,"Boulevard Bourque","J1N 2A7","819 300-2080","Centre De Sports Recreatifs Et De Conditionnement Physique"
"V EXTERMINATION GESTION PARASITAIRE",268,"Chemin Godin","J1R 0S6","819 829-1212","Services D'Extermination Et De Lutte Antiparasitaire"
"V.R.MOBILE INC",3417,"Rue Suzor-Côté","J1K 3C1","819 821-9116","Construction Residentielle"
"VA DOMICILE",531,"Rue Pépin","J1L 1Y3",NA,"Toutes Les Autres Activites Diverses De Fabrication"
"VAGUE COIFFURE",1430,"Rue King Ouest","J1J 2C2","819 346-2226","Salons De Coiffure Mixtes"
"VAI TA VOIX",165,"Rue Moore","J1H 1B8","819 822-0571","Tous Les Autres Etablissements De Formation Et D'Education"
"VAILLANCOURT PORTES ET FENÊTRES",4710,"Boulevard Bourque","J1N 2A8","819 823-8728","Magasins De Garnitures De Fenetre"
"VAILLANCOURT RIOU & ASSOCIÉS",2202,"Rue King Ouest","J1J 2E8","819 348-2202","Etudes D'Avocats"
"VAL COIFFURE",1070,"Avenue du Parc","J1N 3P8",NA,"Salons De Coiffure Mixtes"
"VAL ESTRIE FORD INC.",4141,"Rue King Ouest","J1L 1P5","819 563-4466","Marchands D'Automobiles Neuves"
"VALENTINE (13E AVENUE)",889,"13e Avenue Nord","J1E 3S5","819 565-1337","Etablissements De Restauration A Service Restreint"
"VALENTINE (BOUL. DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 791-0711","Etablissements De Restauration A Service Restreint"
"VALENTINE (RUE BELVEDERE S)",1335,"Rue Belvédère Sud","J1H 4E4","819 562-9870","Etablissements De Restauration A Service Restreint"
"VALENTINE (RUE QUEEN)",92,"Rue Queen","J1M 1J4","819 573-2108","Etablissements De Restauration A Service Restreint"
"VALEURS MOBILIÈRES DESJARDINS",300,"Rue Belvédère Nord","J1H 4B1","1 800-668-2999","Courtage En Valeurs Mobilieres"
"VALEURS MOBILIÈRES WHITE HAVEN",2355,"Rue King Ouest","J1J 2G6","819 791-7980","Courtage En Valeurs Mobilieres"
"VALORIS (CENTRE DE TRANSFERT)",2095,"Rue Claude-Greffard","J1H 5H1","819 563-9669","Traitement Et Elimination Des Dechets"
"VALORISATION PME",4718,"Rue Poncet","J1N 1L3","819 564-0620","Autres Services De Conseils En Gestion"
"VAPE DÉPÔT SHERBROOKE INC",1126,"Rue King Est","J1G 1E4","819 791-9495","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"VAPE ROCK",15,"10e Avenue Nord","J1E 2T1","819 933-8273","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"VAPE ROCK (BOUL. BOURQUE)",4394,"Boulevard Bourque","J1N 1S3","819 572-8273","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"VAPE SPECIALISTES",4857,"Boulevard Bourque","J1N 1E8","819 566-4911","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"VAPEROCK (RUE ALEXANDRE)",218,"Rue Alexandre","J1H 4S7","819 565-9779","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"VECTAIR",1001,"Chemin Dion","J1R 0R8","819 578-5615","Tous Les Autres Entrepreneurs Specialises"
"VÉLO SHERMONT",1137,"12e Avenue Nord","J1E 2X4","819 563-7776","Magasins D'Articles De Sport"
"VÉLOMANIA INC.",4398,"Boulevard Bourque","J1N 1S3","819 822-0237","Magasins D'Articles De Sport"
"VENUS FIRE PROTECTION LTD.",4105,"Boulevard de Portland","J1L 1X9","819 820-8000","Toutes Les Autres Activites Diverses De Fabrication"
"VERANDAS ESTRIE",6061,"Boulevard Bourque","J1N 1H2","819 240-6798","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"VERBOM INC. ",3820,"Boulevard Industriel","J1L 2V1","450 532-3672","Toutes Les Autres Activites Diverses De Fabrication"
"VERBOM INC. (RUE ROBERT BOYD)",4990,"Rue Robert-Boyd","J1R 0W8","450 532-3672","Toutes Les Autres Activites Diverses De Fabrication"
"VÉRONIQUE BOUCHARD PSYCHO-ÉDUCATION",40,"Rue Marchant","J1J 3E3","819 573-0409","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"VERRIER ET ASSOCIÉS",2171,"Rue King Ouest","J1J 2G1","819 563-0363","Agences Et Courtiers D'Assurance"
"VERTIGE FERME URBAINE",6943,"Boulevard Bourque","J1N 3K4 ","819 792-4446","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"VÉTÉRINOV",1001,"Chemin Dion","J1R 0R8","819 481-1083","Toutes Les Autres Activites Diverses De Fabrication"
"VIA CAPITALE ESTRIE",30,"Rue Rioux","J1J 2W7","819 563-3000","Bureaux D'Agents Et De Courtiers Immobiliers"
"VIABILIS INC.",2,"Rue du Docteur-Allard","J1C 0S4","819 846-6363","Toutes Les Autres Activites D'Investissement Financier"
"VIBRATION SANTÉ MÉLISSA LACROIX NATUROPATHE",804,"13e Avenue Nord","J1E 3L7","819 582-7317","Autres Services De Soins Personnels"
"VICTOR POULIN INC.",4080,"Boulevard de Portland","J1L 2Y4","819 566-0988","Entrepreneur En Travaux D'Electricite"
"VIDÉO FLASH FLEURIMONT",770,"12e Avenue Nord","J1E 2W9","819 348-0055","Location De Bandes Et De Disques Video"
"VIDÉO FLASH ROCK FOREST",991,"Rue de Gibraltar","J1N 4B2","819 820-2526","Location De Bandes Et De Disques Video"
"VIDEOKOM SOLUTIONS VIDÉO",1543,"Rue Denault","J1H 2R1","819 564-0000","Production De Films Et De Videos"
"VIDÉOTRON",1010,"Rue King Est","J1G 1E4","819 562-2525","Telecommunications Sans Fil (Sauf Par Satellite)"
"VIDÉOTRON (BOUTIQUE)",3050,"Boulevard de Portland","J1L 1K1","819 566-1113","Telecommunications Sans Fil (Sauf Par Satellite)"
"VIDEOTRON (KING OUEST)",1818,"Rue King Ouest","J1J 2E2","819 791-0932","Telecommunications Sans Fil (Sauf Par Satellite)"
"VIDÉOTRON (KIOSQUE)",3050,"Boulevard de Portland","J1L 1K1","819 791-2102","Telecommunications Sans Fil (Sauf Par Satellite)"
"VIDEOTRON (RUE GALT O)",2830,"Rue Galt Ouest","J1K 2V8",NA,"Fournisseur De Services De Telecommunications Par Fil (Sauf Cablodistribution)"
"VILLA MARIE-CLAIRE",470,"Rue Victoria","J1H 3J2","819 563-1622","Tous Les Autres Etablissements De Soins Pour Beneficiaires Internes"
"VILLAGE DE CHINE",1748,"Rue King Ouest","J1J 2C9","819 565-8808","Restaurants A Service Complet"
"VILLAGE DES VALEURS",650,"Rue Jean-Paul-Perrault","J1L 3A6","819 481-0229","Magasins De Vetements Pour La Famille"
"VILLAGE GRACE",1515,"Rue Pleasant View","J1M 0C6","819 569-0546","Etablissements Communautaires De Soins Pour Personnes Agees"
"VILLAGE GREC",1320,"Rue Denault","J1H 2P7","819 829-9999","Restaurants A Service Complet"
"VILLE DE SHERBROOKE-SERVICE DES FINANCES",124,"Rue Wellington Nord","J1H 5X8","819 821-5626","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE - SERVICE DES TECHNOLOGIES DE L'INFORMATION",145,"Rue Wellington Nord","J1H 5C2","819 823-8000","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (500 CHEMIN GIROUX)",500,"Chemin Giroux","J1C 0J8","819 823-8000","Reparations Generales De Vehicules Automobiles"
"VILLE DE SHERBROOKE (BÂTIMENT D'ENTRETIEN)",1680,"Rue Dunant","J1H 4A4","819 823-8000","Autres Services Des Administrations Publiques Provinciales Et Territoriales"
"VILLE DE SHERBROOKE (BOULEVARD DE L'UNIVERSITE)",3990,"Boulevard de l'Université","J1N 2W3",NA,"Organisations Civiques Et Amicales"
"VILLE DE SHERBROOKE (DIVISION DE LA CULTURE)",420,"Rue Marquette","J1H 1M4","819 823-8000 POSTE 5438","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (LUSSIER JEAN)",1460,"Rue Brébeuf","J1H 3G2",NA,"Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (RUE DE L'ONTARIO)",151,"Rue de l'Ontario","J1J 3P8","819 823-8000","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (RUE DES GRANDES FOURCHES S)",555,"Rue des Grandes-Fourches Sud","J1H 5G7","819-821-5788","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (RUE SAINT FRANCOIS N)",215,"Rue Saint-Francois Nord","J1E 2C7","819 823-8000","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLE DE SHERBROOKE (SERVICE DES RESSOURCES HUMAINES)",174,"Rue du Palais","J1H 4P9","819 821-5677","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"VILLENEUVE GAGNÉ STÉBENNE PROULX INC.",585,"Boulevard Jacques-Cartier Nord","J1J 2Z6","819 822-4221","Cabinets De Comptables"
"VIN POLISSON",197,"Rue King Ouest","J1H 1P4","819 791-2442","Restaurants A Service Complet"
"VINCENT D'AMÉRIQUE",3050,"Boulevard de Portland","J1L 1K1","819 563-5005","Magasins De Vetements Pour Hommes"
"VINCENT GUAY OSTÉOPATHE",167,"Rue des Grenats","J1G 5L1","819 943-7710","Cabinets De Tous Les Autres Praticiens"
"VINESTRIE",768,"Rue King Est","J1G 1C5","819 822-4612","Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"VINESTRIE (RUE KING O)",1444,"Rue King Ouest","J1J 2C2","819 822-4612","Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"VINTAGE BARBERSHOP",23,"Rue Léger","J1L 1X1","819 933-3019","Salons De Coiffure Pour Homme"
"VIRGIN MOBILE (KIOSQUE)",3050,"Boulevard de Portland","J1L 1K1","819 573-2222","Telecommunications Sans Fil (Sauf Par Satellite)"
"VIRGINIE BEAUBIEN AVOCATE",2265,"Boulevard de Portland","J1J 2V1","514 929-3616","Etudes D'Avocats"
"VIRGULE CAFÉ",5400,"Rue du Président-Kennedy","J1N 2P7","819 864-1717","Restaurants A Service Complet"
"VIRIDIS ENVIRONNEMENT",1144,"Rue King Ouest","J1H 1S2","819 791-4207, 1-888 701-4003","Services De Conseils En Environnement"
"VIRTUOSE STRATÉGIA ET PEAK",688,"Rue Prospect","J1H 1A8","819 562-0601","Services De Conseil En Placement"
"VISION COIFFURE",5834,"Rue de la Frontière","J1N 3X2","819 864-6913","Salons De Coiffure Mixtes"
"VITRERIE DESLONGCHAMPS INC.",3527,"Rue College","J1M 0B8","819 563-3397","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"VITRERIE DUFOUR",950,"Rue King Est","J1G 1E4","819 562-4777","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"VITRERIE MARCOTTE",1798,"Chemin Galvin","J1G 3E9","819 791-7007","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"VITRERIE ROY & FILS INC.",7158,"Boulevard Bourque","J1N 3L7","819 612-9559","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"VITRERIE SHERBROOKE",4338,"Rue Bertrand-Fabi","J1N 1Y7","819 829-9555","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"VITRO PLUS ZIEBART (80 RUE DES GRANDES FOURCHES N)",80,"Rue des Grandes-Fourches Nord","J1H 5G2","819 566-2722","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"VITROPLUS ENR. (RUE DENAULT)",1685,"Rue Denault","J1K 1E7","819 566-0155","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"VITROPLUS SHERBROOKE EST (12E AVENUE N)",1910,"12e Avenue Nord","J1E 4J6","819 566-5004","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"VN PLANCHERS EXPERTS",5260,"Boulevard Bourque","J1N 1H4","819 864-4253","Magasins De Revetement De Sol"
"VOILÀ PHOTO",282,"Rue Belvédère Nord","J1H 4B1","819 346-9945","Services Photographiques"
"VOLKSWAGEN DE L'ESTRIE",4465,"Boulevard Bourque","J1N 1S4","819 569-9111","Marchands D'Automobiles Neuves"
"VOLVO SHERBROOKE",3625,"Rue du Blanc-Coteau","J1L 0B4","819 563-8303","Marchands D'Automobiles Neuves"
"VOODOO OBJETS PROMOTIONNELS INC.",333,"9e Avenue Sud","J1G 2R2","819 823-3330","Distributeurs De Publicite Par L'Objet"
"VOYAGE AQUA TERRA SHERBROOKE",322,"Boulevard Queen-Victoria","J1H 3R2","819 565-0101","Agences De Voyages"
"VOYAGE CAA-QUÉBEC",2990,"Rue King Ouest","J1L 1Y7","819 566-5132","Agences De Voyages"
"VOYAGE HORIZON",4206,"Rue King Ouest","J1L 1V5","819 563-5848","Agences De Voyages"
"VOYAGE VASCO",4366,"Boulevard Bourque","J1N 1S3","819 564-0661","Agences De Voyages"
"VOYAGES ESCAPADES 2000",2855,"Rue King Ouest","J1L 1C6","819 563-5344","Agences De Voyages"
"VR SOULIÈRE SHERBROOKE",9343,"Boulevard Bourque","J1N 0G2","819 847-3444","Marchands De Vehicules De Plaisance"
"WAJAX",3924,"Rue Lesage","J1L 0B6","819 565-9933","Toutes Les Autres Activites Diverses De Fabrication"
"WALMART (13E AVENUE N)",930,"13e Avenue Nord","J1E 3E5","819 346-2626","Walmart"
"WALMART (BOULEVARD JOSAPHAT RANCOURT)",4050,"Boulevard Josaphat-Rancourt","J1L 3C6","819 823-8382","Walmart"
"WATERVILLE TG",490,"Rue Pépin","J1L 2Y8","819 347-3131","Toutes Les Autres Activites Diverses De Fabrication"
"WATERVILLE TG PIÈCES ET SERVICES",111,"Rue des PME","J1C 0R3","819 347-3131","Toutes Les Autres Activites Diverses De Fabrication"
"WAVE KOMBUSHA / DJODJO KOMBUSHA",6943,"Boulevard Bourque","J1N 3K4 ","514 817-1928","Grossistes-Distributeurs De Boissons Non Alcoolisees"
"WEBTEL",2984,"Rue des Chênes","J1L 1Y1","819 563-9333","Conception De Systemes Informatiques Et Services Connexes"
"WEED MAN",8623,"Chemin de Saint-Élie","J1R 0C4","819 823-9913","Services D'Amenagement Paysager"
"WESTBURNE SHERBROOKE",4055,"Boulevard Industriel","J1L 2S7","819 562-2660","Grossistes-Distributeurs De Materiel Et Fournitures Electriques, De Plomberie, De Chauffage Et De Climatisation"
"WESTLEY - ARTISANS RESTAURATEURS",3200,"Rue King Ouest","J1L 1C9","819 791-2229","Restaurants A Service Complet"
"WICCAN-TRINITY SHERBROOKE",18,"Rue King Ouest","J1H 1N8","819 569-8222","Magasins De Cadeaux, D'Articles De Fantaisie Et De Souvenirs"
"WINNERS  & HOME SENSE",3225,"Boulevard de Portland","J1L 1K1","819 780-1307","Magasins De Vetements Pour La Famille"
"WINTERWEB SOLUTIONS INTERNET INC.",633,"Rue Saint-Nicolas","J1R 0T6","819 620-5411","Services De Conseils En Gestion Administrative Et Generale"
"WIPTEC LOGISTICS (3160 BOULEVARD INDUSTRIEL)",3160,"Boulevard Industriel","J1L 1V8","819 564-7117","Entreposage General"
"WIPTEC LOGISTICS (3220 BOULEVARD INDUSTRIEL)",3220,"Boulevard Industriel","J1L 1V8","819 564-7117","Entreposage General"
"WLKN",3050,"Boulevard de Portland","J1L 1K1","819 791-3909","Magasins De Tous Les Autres Vetements"
"WOLRD GYM SHERBROOKE",3050,"Boulevard de Portland","J1L 1K1","819 416-2500","Centre De Sports Recreatifs Et De Conditionnement Physique"
"WOLSELEY",230,"Rue Léger","J1L 1M1","819 562-2662","Grossistes-Distributeurs De Materiel Et Fournitures Electriques, De Plomberie, De Chauffage Et De Climatisation"
"WOLTERS KLUWER",1120,"Rue de Cherbourg","J1K 2N8","819 566-2000","Editeurs De Logiciels"
"WOW ÈVENEMENTS INC.",446,"Rue Dufferin","J1H 4N6","819 542-1980","Promoteurs (Diffuseurs) D'Evenements Artistiques, Sans Installations"
"WOW! BOUTIQUE MOBILE",3050,"Boulevard de Portland","J1L 1K1","819 829-5902","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"WSP",171,"Rue Léger","J1L 1M2","819 340-6124","Services De Conseils En Environnement"
"X AUTOMATION",330,"Rue Rodolphe-Racine","J1R 0S7","819 200-0317","Conception De Systemes Informatiques Et Services Connexes"
"YELLOW CHAUSSURES",2980,"Boulevard de Portland","J1L 1R8","819 562-0539","Magasins De Chaussures"
"YELLOW CHAUSSURES (GALERIES 4 SAISONS)",930,"13e Avenue Nord","J1E 3E5","819 566-2217","Magasins De Chaussures"
"YEP LOCATION D'ÉQUIPEMENTS (BOULEVARD BOURQUE)",5752,"Boulevard Bourque","J1N 1H3","819 612-5757","Location Et Location A Bail D'Autres Machines Et Materiel D'Usage Commercial Et Industriel"
"YEP LOCATION D'ÉQUIPEMENTS (RUE DU CONSEIL)",1500,"Rue du Conseil","J1G 1N4","819 564-1500","Location De D'Autres Biens De Consommation"
"YRC FREIGHT",5945,"Chemin de Saint-Élie","J1R 0L6","1 800 610-6500","Transport Par Camion De Marchandises Diverses Sur De Longues Distances"
"YUZU SUSHI (BOUL. BOURQUE)",4797,"Boulevard Bourque","J1N 2G6","819 987-9888","Etablissements De Restauration A Service Restreint"
"YUZU SUSHI (RUE KING E)",1115,"Rue King Est","J1G 1E5","819 562-9888","Etablissements De Restauration A Service Restreint"
